         ns       /busy_counter_tb/test/clk  /busy_counter_tb/test/clk                                       
          delta        /busy_counter_tb/test/busy               /busy_counter_tb/test/busy                   
           /busy_counter_tb/test/global_reset  /busy_counter_tb/test/global_reset                            
        /busy_counter_tb/test/game_engine_reset  /busy_counter_tb/test/game_engine_reset                     
                       /busy_counter_tb/test/busy_count         /busy_counter_tb/test/busy_count             
      0.000  +0                           U U U U     ?              U          U      U U     ? 
   7980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8080.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   8580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   8585.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   8960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   8980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9090.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   9580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   9595.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   9960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   9980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  10600.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  10605.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  10960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  10980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11100.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11110.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  11600.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  11615.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  11960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  11980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12100.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12600.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  12620.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  12625.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  12960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  12980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13100.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13120.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13130.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13600.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  13620.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  13635.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  13960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  13980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14100.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14120.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14600.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14620.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  14640.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  14645.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  14960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  14980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15100.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15120.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15140.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15150.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  15160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  15180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  15200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  15220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  15240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  15260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  15280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  15300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  15320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  15340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  15360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  15380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  15400.000  +0                           0 0 1 0     ?              0          0      1 0     ? 
  15420.000  +0                           1 0 1 0     ?              1          0      1 0     ? 
  15440.000  +0                           0 0 1 0     ?              0          0      1 0     ? 
  15460.000  +0                           1 0 1 0     ?              1          0      1 0     ? 
  15480.000  +0                           0 0 1 0     ?              0          0      1 0     ? 
  15500.000  +0                           1 0 1 0     ?              1          0      1 0     ? 
  15520.000  +0                           0 0 1 0     ?              0          0      1 0     ? 
  15540.000  +0                           1 0 1 0     ?              1          0      1 0     ? 
  15560.000  +0                           0 0 1 0     ?              0          0      1 0     ? 
  15580.000  +0                           1 0 1 0     ?              1          0      1 0     ? 
  15600.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  15620.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  15640.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  15655.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  15960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  15980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
